FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000641	-0.012939
0.000000	0.000946	-0.006561
0.000000	0.001587	-0.004974
0.000000	0.000946	-0.010071
0.000000	0.000641	-0.005615
0.000000	0.000336	-0.010376
0.000000	0.000641	-0.009430
0.000000	0.000336	-0.007507
0.000000	0.000641	-0.011017
0.000000	0.000946	-0.008453
0.000000	0.000641	-0.007843
0.000000	0.000946	-0.003357
0.000000	0.000946	-0.004333
0.000000	0.001282	-0.004333
0.000000	0.000336	-0.010071
0.000000	0.000946	-0.008453
0.000000	0.001282	-0.005920
0.000000	0.000946	-0.010071
0.000000	0.000336	-0.014191
0.000000	0.000641	-0.007507
0.000000	0.000946	-0.009430
0.000000	0.000000	-0.012604
0.000000	0.001282	-0.008148
0.000000	0.001282	-0.007843
0.851318	0.011383	-0.004974
0.849091	0.091644	0.014771
0.846832	0.225281	0.084839
0.844543	0.390228	0.180695
0.842285	0.544098	0.267303
0.839966	0.644897	0.322083
0.837677	0.719788	0.361908
0.835358	0.779816	0.413818
0.833008	0.818665	0.452332
0.830658	0.840790	0.448517
0.828308	0.845520	0.437683
0.825928	0.854675	0.429108
0.823517	0.859436	0.445648
0.821136	0.863220	0.438019
0.818726	0.860046	0.425262
0.816284	0.854370	0.420807
0.813843	0.860046	0.432281
0.811401	0.858154	0.429718
0.808929	0.850281	0.396942
0.806458	0.840790	0.370483
0.803955	0.837311	0.363800
0.801483	0.837006	0.353943
0.798950	0.830353	0.344391
0.796448	0.825928	0.325928
0.793884	0.824677	0.346619
0.791351	0.825623	0.385468
0.788788	0.827820	0.397247
0.786224	0.817413	0.402985
0.783630	0.813293	0.395660
0.781036	0.812042	0.412201
0.778442	0.807922	0.404877
0.775848	0.800659	0.375580
0.773193	0.794342	0.358398
0.770569	0.794342	0.366028
0.767914	0.798126	0.373993
0.765259	0.793396	0.370819
0.762604	0.788666	0.354889
0.759918	0.785187	0.355835
0.757233	0.787079	0.351379
0.754547	0.781708	0.333252
0.751831	0.772858	0.305206
0.749115	0.770020	0.295013
0.746399	0.770630	0.318268
0.743652	0.771271	0.319550
0.740906	0.767487	0.329742
0.738129	0.764313	0.339294
0.735382	0.765900	0.366364
0.732605	0.765900	0.384827
0.729828	0.759277	0.369232
0.727020	0.749481	0.348511
0.724213	0.747589	0.341827
0.721405	0.747253	0.333557
0.718597	0.743164	0.326538
0.715759	0.739685	0.308075
0.712921	0.736206	0.312866
0.710083	0.739990	0.322083
0.707214	0.738098	0.330048
0.704376	0.732086	0.307434
0.701508	0.725159	0.295654
0.698608	0.724182	0.297577
0.695740	0.722931	0.287689
0.692841	0.717865	0.279724
0.689941	0.713440	0.285797
0.687012	0.714386	0.300110
0.684113	0.715363	0.324646
0.681183	0.714081	0.332916
0.678253	0.706818	0.329102
0.675323	0.703979	0.335785
0.672363	0.702698	0.335785
0.669434	0.698273	0.322418
0.666473	0.691345	0.290894
0.663513	0.685638	0.281342
0.660522	0.687225	0.283234
0.657562	0.686279	0.286438
0.654572	0.683441	0.279724
0.651581	0.679657	0.274323
0.648590	0.678711	0.290253
0.645599	0.677429	0.292480
0.642578	0.672363	0.274963
0.639557	0.664795	0.260315
0.636566	0.663208	0.263824
0.633545	0.662262	0.276245
0.630493	0.661011	0.277496
0.627472	0.656250	0.281342
0.624420	0.653748	0.283569
0.621399	0.653412	0.294708
0.618347	0.651825	0.305847
0.615295	0.645203	0.288330
0.612244	0.638885	0.274963
0.609161	0.635712	0.269226
0.606110	0.634766	0.260956
0.603027	0.629395	0.240234
0.599976	0.625305	0.236115
0.596893	0.624359	0.244080
0.593811	0.625305	0.259674
0.590729	0.623077	0.255859
0.587616	0.617401	0.259033
0.584534	0.613922	0.252655
0.581451	0.611389	0.257446
0.578339	0.608246	0.254883
0.575226	0.603180	0.239929
0.572144	0.598450	0.239929
0.569031	0.598114	0.254883
0.565918	0.597809	0.267303
0.562805	0.594330	0.266693
0.559692	0.589905	0.259979
0.556580	0.586426	0.257141
0.553436	0.585175	0.259369
0.550323	0.579498	0.241211
0.547211	0.573151	0.220825
0.544067	0.569702	0.209991
0.540955	0.569702	0.212860
0.537811	0.568115	0.216675
0.534698	0.564331	0.218597
0.531555	0.561798	0.225586
0.528412	0.560211	0.236115
0.525299	0.557678	0.239624
0.522156	0.552612	0.232300
0.519012	0.546936	0.221771
0.515900	0.543457	0.223999
0.512756	0.541870	0.224976
0.509613	0.538727	0.215424
0.506470	0.534943	0.223358
0.503326	0.532104	0.221771
0.500183	0.532410	0.229095
0.497070	0.528625	0.225922
0.493927	0.523254	0.211578
0.490784	0.517883	0.205231
0.487640	0.515961	0.191528
0.484497	0.512512	0.191528
0.481354	0.508698	0.181335
0.478241	0.504913	0.178467
0.475098	0.504913	0.189941
0.471954	0.503326	0.204254
0.468842	0.500183	0.203613
0.465698	0.495758	0.209351
0.462555	0.492279	0.207458
0.459442	0.490051	0.209991
0.456299	0.485962	0.202362
0.453186	0.480286	0.185791
0.450073	0.476807	0.189301
0.446930	0.476166	0.189301
0.443817	0.474274	0.192810
0.440704	0.470490	0.187714
0.437592	0.467010	0.185486
0.434479	0.464478	0.183563
0.431366	0.462585	0.183563
0.428253	0.457825	0.171783
0.425171	0.451508	0.163177
0.422058	0.449615	0.160950
0.418976	0.448669	0.161285
0.415863	0.446777	0.166046
0.412781	0.442993	0.167633
0.409698	0.439819	0.173370
0.406616	0.437927	0.185150
0.403534	0.436035	0.191193
0.400452	0.430359	0.177826
0.397369	0.425934	0.176239
0.394318	0.423096	0.169556
0.391235	0.420227	0.162872
0.388184	0.416138	0.158722
0.385132	0.412659	0.146301
0.382080	0.410126	0.152679
0.379028	0.409821	0.160645
0.375977	0.406982	0.151398
0.372955	0.401276	0.149811
0.369904	0.398743	0.140259
0.366882	0.395599	0.138336
0.363861	0.392426	0.140564
0.360840	0.388336	0.135468
0.357849	0.385468	0.135468
0.354828	0.384857	0.144379
0.351837	0.382965	0.156799
0.348846	0.379150	0.152985
0.345856	0.375366	0.150757
0.342865	0.372223	0.153625
0.339905	0.369354	0.151093
0.336914	0.364960	0.138672
0.333954	0.360199	0.124634
0.331024	0.357056	0.122406
0.328064	0.356110	0.122406
0.325104	0.353241	0.119568
0.322174	0.349792	0.123047
0.319244	0.347870	0.117004
0.316345	0.346313	0.122742
0.313416	0.342194	0.120514
0.310516	0.338409	0.116364
0.307617	0.333984	0.110626
0.304718	0.332092	0.113190
0.301849	0.329865	0.115082
0.298950	0.326080	0.116364
0.296082	0.324188	0.123047
0.293243	0.321655	0.124969
0.290375	0.319763	0.133240
0.287537	0.316284	0.126251
0.284698	0.311554	0.119232
0.281891	0.308380	0.111908
0.279053	0.305542	0.108093
0.276245	0.303009	0.101715
0.273437	0.299530	0.095673
0.270660	0.296387	0.093750
0.267883	0.294800	0.094391
0.265106	0.293854	0.102356
0.262329	0.290070	0.097900
0.259583	0.286591	0.097260
0.256836	0.284698	0.094727
0.254089	0.281219	0.099182
0.251373	0.278046	0.095032
0.248657	0.274261	0.091522
0.245941	0.271423	0.090240
0.243256	0.270477	0.101410
0.240570	0.267944	0.104584
0.237885	0.264465	0.105225
0.235229	0.261322	0.105225
0.232574	0.258789	0.098206
0.229919	0.255615	0.091522
