FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.076599	0.022766	0.031036
0.085144	0.026855	0.030060
0.094116	0.030029	0.031342
0.103455	0.035065	0.038971
0.113220	0.040771	0.042175
0.123322	0.046143	0.048218
0.133820	0.052460	0.053009
0.144684	0.059082	0.053955
0.155884	0.065399	0.059052
0.167450	0.072693	0.066681
0.179321	0.079620	0.071136
0.191498	0.088806	0.079102
0.204010	0.096375	0.078796
0.216766	0.106171	0.093109
0.229828	0.115326	0.088348
0.243164	0.124481	0.100128
0.256744	0.135254	0.104279
0.270569	0.145355	0.117645
0.284607	0.155762	0.125275
0.298859	0.167786	0.136108
0.313324	0.180115	0.139618
0.327942	0.190857	0.149170
0.342773	0.202545	0.158081
0.357727	0.215179	0.161285
0.372833	0.227814	0.177826
0.388031	0.241394	0.185150
0.403381	0.254669	0.188965
0.418823	0.267944	0.198212
0.434326	0.280884	0.207764
0.449890	0.295105	0.218262
0.465515	0.309326	0.227203
0.481171	0.323883	0.235779
0.496857	0.337463	0.245331
0.512543	0.353241	0.258392
0.528198	0.367798	0.266998
0.543823	0.382324	0.274963
0.559418	0.397186	0.294373
0.574951	0.412964	0.296600
0.590424	0.427826	0.310944
0.605804	0.443298	0.322723
0.621063	0.458466	0.334198
0.636230	0.473328	0.339600
0.651245	0.489105	0.350739
0.666107	0.505219	0.363159
0.680817	0.520081	0.379425
0.695343	0.536194	0.381958
0.709656	0.551361	0.398193
0.723785	0.566223	0.407440
0.737701	0.581696	0.415070
0.751373	0.597168	0.423370
0.764801	0.611389	0.433228
0.777985	0.627197	0.446594
0.790863	0.641724	0.453613
0.803467	0.656586	0.462219
0.815765	0.669861	0.473053
0.827789	0.684082	0.484833
0.839447	0.697968	0.498199
0.850800	0.711884	0.505829
0.861786	0.725769	0.513153
0.872437	0.739349	0.523682
0.882721	0.752625	0.533539
0.892609	0.765900	0.541504
0.902130	0.778870	0.546295
0.911224	0.791168	0.554565
0.919952	0.803833	0.570496
0.928253	0.815521	0.574310
0.936127	0.827209	0.578461
0.943573	0.839508	0.588318
0.950592	0.850281	0.599792
0.957153	0.860687	0.601685
0.963287	0.872070	0.609344
0.968964	0.881561	0.623352
0.974152	0.891327	0.620483
0.978912	0.899872	0.634186
0.983185	0.908417	0.639587
0.986969	0.917572	0.639587
0.990295	0.925140	0.645020
0.993103	0.931793	0.655182
0.995453	0.939056	0.661560
0.997314	0.946625	0.659332
0.998688	0.951691	0.667297
0.999573	0.957062	0.672699
0.999969	0.963074	0.670807
0.999878	0.967499	0.684814
0.999298	0.973480	0.679718
0.998199	0.976013	0.681641
0.996643	0.979492	0.688965
0.994598	0.982666	0.684814
0.992035	0.984863	0.691498
0.989014	0.987091	0.691498
0.985504	0.988983	0.697235
0.981537	0.989929	0.694366
0.977051	0.990234	0.694061
0.972137	0.989594	0.692139
0.966736	0.989594	0.695007
0.960907	0.989288	0.692444
0.954590	0.987396	0.695007
0.947845	0.986450	0.690552
0.940674	0.983917	0.687683
0.933044	0.981384	0.686737
0.924988	0.977600	0.682892
0.916534	0.974121	0.679718
0.907654	0.970978	0.677490
0.898407	0.965912	0.678436
0.888733	0.960846	0.674622
0.878693	0.955811	0.665710
0.868256	0.949493	0.657104
0.857483	0.942535	0.659027
0.846375	0.935883	0.658386
0.834900	0.928955	0.656799
0.823090	0.921051	0.645325
0.810974	0.913147	0.637360
0.798553	0.904938	0.634491
0.785828	0.895447	0.630676
0.772858	0.885956	0.624298
0.759583	0.876801	0.620178
0.746063	0.865417	0.606781
0.732300	0.855652	0.602661
0.718323	0.844879	0.594360
0.704102	0.832581	0.586090
0.689728	0.822144	0.582581
0.675140	0.809204	0.572723
0.660370	0.797485	0.559967
0.645447	0.785797	0.551697
0.630402	0.772858	0.545013
0.615204	0.760529	0.537689
0.599915	0.746643	0.524628
0.584503	0.733673	0.516998
0.569031	0.719788	0.510925
0.553467	0.706512	0.496918
0.537872	0.692596	0.491180
0.522217	0.678375	0.480042
0.506561	0.664490	0.469208
0.490906	0.650269	0.464447
0.475250	0.635406	0.454559
0.459625	0.619934	0.443420
0.444031	0.605408	0.432587
0.428467	0.590546	0.415710
0.413025	0.574738	0.406494
0.397644	0.559570	0.400757
0.382355	0.543793	0.388641
0.367187	0.527679	0.377808
0.352142	0.513458	0.366364
0.337250	0.497345	0.354248
0.322510	0.481842	0.339294
0.307953	0.466370	0.330048
0.293610	0.451202	0.325592
0.279449	0.435394	0.308411
0.265472	0.419922	0.304260
0.251770	0.405396	0.288666
0.238281	0.390533	0.283234
0.225067	0.375366	0.265076
0.212128	0.360535	0.256500
0.199463	0.345673	0.244080
0.187103	0.331451	0.237396
0.175018	0.316925	0.229736
0.163300	0.303009	0.223694
0.151886	0.289124	0.211273
0.140808	0.275513	0.204254
0.130096	0.261932	0.192810
0.119720	0.248352	0.183258
0.109741	0.235718	0.176880
0.100159	0.223083	0.168610
0.090942	0.210449	0.162872
0.082123	0.198425	0.150116
0.073730	0.186737	0.138977
0.065765	0.175049	0.135162
