FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000641	-0.166748
0.000000	0.000946	-0.171509
0.000000	0.000641	-0.168640
0.000000	0.001282	-0.167389
0.000000	0.000641	-0.172485
0.000000	0.000641	-0.166412
0.000000	0.001282	-0.168335
0.000000	0.000641	-0.169281
0.000000	0.000946	-0.167053
0.000000	0.001282	-0.167999
0.000000	0.001282	-0.175018
0.000000	0.000641	-0.172791
0.000000	0.001282	-0.167694
0.000000	0.000641	-0.170563
0.000000	0.001282	-0.167389
0.000000	0.000641	-0.166748
0.000000	0.000641	-0.166412
0.000000	0.000946	-0.173096
0.000000	0.000641	-0.171509
0.000000	0.000336	-0.166748
0.000000	0.001282	-0.170868
0.000000	0.000946	-0.165161
0.000000	0.000946	-0.174377
0.000000	0.000946	-0.167999
0.000000	0.000946	-0.171204
0.000000	0.000641	-0.173431
0.000000	0.000641	-0.169617
0.000000	0.001282	-0.168335
0.000000	0.001282	-0.168976
0.000000	0.000641	-0.173431
0.000000	0.000641	-0.173737
0.000000	0.000641	-0.169922
0.000000	0.000641	-0.178833
0.000000	0.000946	-0.175659
0.000000	0.000946	-0.173737
0.000000	0.000641	-0.168335
0.000000	0.001282	-0.171509
0.000000	0.001587	-0.170227
0.000000	0.000000	-0.174377
0.000000	0.001587	-0.170563
0.000000	0.001892	-0.171844
0.000000	0.000946	-0.170868
0.000000	0.001282	-0.172791
0.000000	0.001282	-0.172791
0.000000	0.001282	-0.175018
0.000000	0.000641	-0.170227
0.000000	0.000336	-0.172791
0.000000	0.000946	-0.165161
0.000000	0.000946	-0.167053
0.000000	0.001282	-0.171204
0.000000	0.001282	-0.167053
0.000000	0.000641	-0.165466
0.000000	0.001282	-0.171204
0.000000	0.001282	-0.172485
0.000000	0.000946	-0.168335
0.000000	0.001282	-0.167694
0.000000	0.001282	-0.171844
0.000000	0.000946	-0.174377
0.000000	0.000641	-0.169922
0.000000	0.000641	-0.170227
0.000000	0.000641	-0.171204
0.000000	0.001282	-0.167694
0.000000	0.001587	-0.170563
0.000000	0.001587	-0.172485
0.000000	0.000641	-0.169922
0.000000	0.001282	-0.171204
0.000000	0.000336	-0.171204
0.000000	0.000946	-0.172150
0.000000	0.000946	-0.168640
0.000000	0.000946	-0.169617
0.000000	0.001282	-0.176300
0.000000	0.000641	-0.169922
0.000000	0.000641	-0.167694
0.000000	0.001282	-0.175018
0.000000	0.001282	-0.172791
0.000000	0.000946	-0.175018
0.000000	0.000946	-0.171509
0.000000	0.001282	-0.171844
0.000000	0.000641	-0.170868
0.000000	0.000641	-0.174713
0.000000	0.001282	-0.167999
0.000000	0.000946	-0.169922
0.000000	0.000641	-0.169617
0.000000	0.000641	-0.169617
0.000000	0.001282	-0.167694
0.000000	0.000641	-0.173431
0.000000	0.000946	-0.170227
0.000000	0.000946	-0.167389
0.000000	0.000336	-0.167053
0.000000	0.000946	-0.167999
0.000000	0.000946	-0.170868
0.000000	0.000641	-0.168640
0.000000	0.000946	-0.170563
0.000000	0.001282	-0.168640
0.000000	0.000641	-0.168335
0.000000	0.000946	-0.171204
0.000000	0.000641	-0.169617
0.000000	0.000641	-0.171509
0.000000	0.000946	-0.168976
0.000000	0.000946	-0.172485
0.000000	0.000641	-0.165161
0.000000	0.000946	-0.166107
0.000000	0.000336	-0.170227
0.000000	0.000946	-0.174072
0.000000	0.000946	-0.172485
0.000000	0.000641	-0.172150
0.000000	0.000641	-0.176605
0.000000	0.000000	-0.168976
0.000000	0.000336	-0.169617
0.000000	0.001587	-0.170868
0.000000	0.000946	-0.170227
0.000000	0.000946	-0.171844
0.000000	0.000641	-0.171509
0.000000	0.000641	-0.172485
0.000000	0.001282	-0.167053
0.000000	0.000336	-0.167999
0.000000	0.001282	-0.165161
0.000000	0.000641	-0.162903
0.000000	0.001282	-0.173737
0.000000	0.000946	-0.164825
0.000000	0.000946	-0.170868
0.000000	0.000946	-0.172485
0.000000	0.000946	-0.169281
0.000000	0.000641	-0.167389
0.000000	0.000641	-0.170227
0.000000	0.000946	-0.172150
0.000000	0.000336	-0.171844
0.000000	0.000946	-0.171844
0.000000	0.000641	-0.171509
0.000000	0.000946	-0.167389
0.000000	0.000946	-0.173096
0.000000	0.001282	-0.167389
0.000000	0.001892	-0.170868
0.000000	0.000946	-0.172150
0.000000	0.001282	-0.172150
0.000000	0.000641	-0.172150
0.000000	0.001282	-0.173096
0.000000	0.000946	-0.166748
0.000000	0.000946	-0.167694
0.000000	0.000641	-0.176605
0.000000	0.000946	-0.171509
0.000000	0.000946	-0.169922
0.000000	0.000946	-0.172485
0.000000	0.001587	-0.169281
0.000000	0.000946	-0.172485
0.000000	0.001587	-0.173431
0.000000	0.000336	-0.171844
0.000000	0.000336	-0.176605
0.000000	0.000946	-0.169617
0.000000	0.001587	-0.166107
0.000000	0.000641	-0.171509
0.000000	0.000641	-0.174377
0.000000	0.000641	-0.166748
0.000000	0.001282	-0.175018
0.000000	0.001282	-0.166748
0.000000	0.000946	-0.169281
0.000000	0.001282	-0.170868
0.000000	0.000946	-0.167389
0.000000	0.000946	-0.168976
0.000000	0.000946	-0.166412
0.000000	0.000641	-0.171204
0.000000	0.001282	-0.166748
0.000000	0.000641	-0.164825
0.000000	0.001282	-0.166107
0.000000	0.001282	-0.169281
0.000000	0.000946	-0.169922
0.000000	0.001282	-0.170868
0.000000	0.000641	-0.175323
0.000000	0.000946	-0.173737
0.000000	0.000946	-0.169617
0.000000	0.000641	-0.171509
0.000000	0.000641	-0.169617
0.000000	0.000641	-0.169922
0.000000	0.000641	-0.172150
0.000000	0.000946	-0.174072
0.000000	0.000641	-0.171204
0.000000	0.000946	-0.167694
0.000000	0.000946	-0.173096
0.000000	0.000946	-0.163544
0.000000	0.001587	-0.169922
0.000000	0.000946	-0.171509
0.000000	0.000946	-0.168976
0.000000	0.000641	-0.170563
0.000000	0.001282	-0.168640
0.000000	0.000946	-0.171509
0.000000	0.000946	-0.168335
0.000000	0.001892	-0.165466
0.000000	0.000946	-0.168976
0.000000	0.000641	-0.167999
0.000000	0.000946	-0.164520
0.000000	0.000641	-0.166748
0.000000	0.001587	-0.168335
0.000000	0.001587	-0.174713
0.000000	0.000641	-0.174072
0.000000	0.000946	-0.169281
0.000000	0.000641	-0.172150
0.000000	0.001282	-0.168640
0.000000	0.001587	-0.172150
0.000000	0.000946	-0.167999
0.000000	0.001282	-0.175964
0.000000	0.001282	-0.171509
0.000000	0.001282	-0.168976
0.000000	0.000946	-0.173096
0.000000	0.000946	-0.170868
0.000000	0.000641	-0.163879
0.000000	0.001282	-0.167053
0.000000	0.000641	-0.167694
0.000000	0.001282	-0.169281
0.000000	0.001282	-0.171509
0.000000	0.001587	-0.167694
0.000000	0.000946	-0.172791
0.000000	0.001282	-0.168976
0.157715	0.001282	-0.171204
0.169342	0.020874	-0.167053
0.181274	0.097626	-0.142212
0.193542	0.210754	-0.076294
0.206116	0.325134	-0.014191
0.218964	0.408875	0.038025
0.232086	0.446472	0.048523
0.245483	0.465729	0.062561
0.259125	0.474915	0.091858
0.273010	0.468903	0.095337
0.287109	0.450897	0.071777
0.301422	0.432251	0.051392
0.315918	0.418030	0.040894
0.330627	0.406647	0.038361
0.345490	0.394653	0.024017
0.360504	0.380432	0.014465
0.375641	0.371887	0.011292
0.390900	0.372833	0.026886
0.406281	0.367157	0.015747
0.421753	0.360840	-0.015167
0.437317	0.356720	-0.032654
0.452911	0.362732	-0.029480
0.468567	0.368103	-0.026306
0.484253	0.371277	-0.038727
0.499969	0.376953	-0.033936
0.515656	0.389587	0.003326
0.531342	0.404449	0.036438
0.546997	0.414856	0.052368
0.562622	0.419922	0.045990
0.578156	0.432251	0.054596
0.593628	0.446472	0.068909
0.609009	0.457520	0.061920
0.624268	0.467010	0.046295
0.639435	0.480591	0.054260
0.654449	0.498901	0.072113
0.669281	0.518494	0.083252
0.683990	0.532104	0.085785
0.698486	0.544098	0.087708
0.712799	0.561798	0.091217
