FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000641	0.019562
0.000000	0.000641	0.022095
0.000000	0.000946	0.022430
0.000000	0.001282	0.025299
0.000000	0.001282	0.023071
0.000000	0.000946	0.018280
0.000000	0.000946	0.023071
0.000000	0.000946	0.024017
0.000000	0.000641	0.023071
0.000000	0.000641	0.016998
0.000000	0.001282	0.019226
0.000000	0.000336	0.017639
0.000000	0.000946	0.018280
0.000000	0.000336	0.018921
0.000000	0.000336	0.021790
0.000000	0.000946	0.026245
0.000000	0.001282	0.016052
0.000000	0.000946	0.021790
0.000000	0.001282	0.021149
0.000000	0.000946	0.016998
0.000000	0.000641	0.019867
0.000000	0.001282	0.021454
0.000000	0.000946	0.020203
0.000000	0.000336	0.018280
0.000000	0.001282	0.017334
0.000000	0.001282	0.015106
0.000000	0.000946	0.019226
0.000000	0.000336	0.025604
0.000000	0.000946	0.022095
0.000000	0.000946	0.021454
0.000000	0.000641	0.021149
0.000000	0.001282	0.026245
0.000000	0.000946	0.022095
0.000000	0.000641	0.021454
0.000000	0.000641	0.022736
0.000000	0.000336	0.020203
0.000000	0.001587	0.016693
0.000000	0.000946	0.017639
0.000000	0.000641	0.014465
0.000000	0.000641	0.018280
0.000000	0.000946	0.022095
0.000000	0.000946	0.016693
0.000000	0.000946	0.020844
0.000000	0.000946	0.022095
0.000000	0.000641	0.015747
0.000000	0.000946	0.018921
0.000000	0.001282	0.023376
0.000000	0.001282	0.023376
0.000000	0.000946	0.020844
0.000000	0.000946	0.020203
0.000000	0.000641	0.018921
0.000000	0.001282	0.026245
0.000000	0.000946	0.019226
0.000000	0.000641	0.023712
0.000000	0.000641	0.022095
0.000000	0.001282	0.022430
0.000000	0.000946	0.019867
0.000000	0.001282	0.017334
0.000000	0.001587	0.019867
0.000000	0.000641	0.019226
0.000000	0.000641	0.016998
0.000000	0.000641	0.017639
0.000000	0.001282	0.018921
0.000000	0.000641	0.023071
0.000000	0.001282	0.020203
0.000000	0.001587	0.024017
0.000000	0.000641	0.024658
0.000000	0.001587	0.022736
0.000000	0.000946	0.019226
0.000000	0.000641	0.020844
0.000000	0.001282	0.020844
0.000000	0.000946	0.022430
0.000000	0.000336	0.021454
0.000000	0.000946	0.021454
0.000000	0.000641	0.018921
0.000000	0.000946	0.019867
0.000000	0.000336	0.016998
0.000000	0.000336	0.023071
0.000000	0.000946	0.016998
0.000000	0.000641	0.023071
0.000000	0.001282	0.020844
0.000000	0.000946	0.027527
0.000000	0.000641	0.021790
0.000000	0.001282	0.018280
0.000000	0.001587	0.020203
0.000000	0.000336	0.018616
0.000000	0.000641	0.028473
0.000000	0.000641	0.018616
0.000000	0.000000	0.017639
0.000000	0.001282	0.020508
0.000000	0.000946	0.018616
0.000000	0.000641	0.019562
0.000000	0.000336	0.025940
0.000000	0.001282	0.017334
0.000000	0.000946	0.020508
0.000000	0.001282	0.019226
0.000000	0.000641	0.018616
0.000000	0.000336	0.022736
0.000000	0.000641	0.019226
0.000000	0.000641	0.016693
0.000000	0.000946	0.019867
0.000000	0.001282	0.018616
0.000000	0.000946	0.015411
0.000000	0.000336	0.019562
0.000000	0.000641	0.021149
0.000000	0.000336	0.020508
0.000000	0.000946	0.026886
0.000000	0.001282	0.018921
0.000000	0.000336	0.016998
0.000000	0.000336	0.018921
0.000000	0.000946	0.019867
0.000000	0.001282	0.020844
0.000000	0.000641	0.019867
0.000000	0.000946	0.024658
0.000000	0.001587	0.015747
0.000000	0.000946	0.018616
0.000000	0.000641	0.022095
0.000000	0.000946	0.028778
0.000000	0.000946	0.026550
0.000000	0.000641	0.019562
0.000000	0.001282	0.020508
0.000000	0.001587	0.028778
0.000000	0.000641	0.026550
0.000000	0.001587	0.019562
0.000000	0.001587	0.022430
0.000000	0.000641	0.019562
0.000000	0.000946	0.016052
0.000000	0.000641	0.010956
0.000000	0.000641	0.022095
0.000000	0.000641	0.018921
0.000000	0.000946	0.017639
0.000000	0.000641	0.019867
0.000000	0.000946	0.019226
0.000000	0.000946	0.016693
0.000000	0.000336	0.020508
0.000000	0.001282	0.020844
0.000000	0.000000	0.019867
0.000000	0.001282	0.023376
0.000000	0.000336	0.019562
0.000000	0.000641	0.019226
0.000000	0.001282	0.017975
0.000000	0.000946	0.018280
0.000000	0.000946	0.024323
0.000000	0.000641	0.024323
0.000000	0.000946	0.017334
0.000000	0.000946	0.020508
0.000000	0.000336	0.021149
0.000000	0.001282	0.019562
0.000000	0.001282	0.017975
0.000000	0.000336	0.015747
0.000000	0.000946	0.019562
0.000000	0.000946	0.020844
0.000000	0.000946	0.025940
0.000000	0.000946	0.025940
0.000000	0.000641	0.018921
0.000000	0.000336	0.020508
0.000000	0.001282	0.023712
0.000000	0.000641	0.024963
0.000000	0.000641	0.016998
0.000000	0.001892	0.020508
0.000000	0.000946	0.022095
0.000000	0.000641	0.021454
0.000000	0.000946	0.022736
0.000000	0.000946	0.023712
0.000000	0.000641	0.026550
0.000000	0.000946	0.019562
0.000000	0.001282	0.026550
0.000000	0.001282	0.020203
0.000000	0.001282	0.020844
0.000000	0.000336	0.020508
0.000000	0.001892	0.019562
0.000000	0.001282	0.021149
0.000000	0.000946	0.017975
0.000000	0.000946	0.019226
0.000000	0.000336	0.021454
0.000000	0.000336	0.020508
0.000000	0.000946	0.017639
0.000000	0.000946	0.015747
0.000000	0.000641	0.026245
0.000000	0.000946	0.022095
0.000000	0.000641	0.021149
0.000000	0.001282	0.024017
0.000000	0.000946	0.021454
0.000000	0.001587	0.017334
0.000000	0.001587	0.027191
0.000000	0.000946	0.023376
0.000000	0.000641	0.020203
0.000000	0.001587	0.020844
0.000000	0.000946	0.029114
0.000000	0.001282	0.022736
0.000000	0.001282	0.022430
0.000000	0.001282	0.018616
0.000000	0.000641	0.019867
0.000000	0.001282	0.018280
0.000000	0.000336	0.022095
0.000000	0.000946	0.023712
0.000000	-0.000305	0.019226
0.000000	0.000946	0.016693
0.000000	0.001282	0.017639
0.000000	0.000641	0.017639
0.000000	0.000336	0.022736
0.000000	0.000641	0.022095
0.000000	0.000641	0.017975
0.000000	0.001587	0.019562
0.000000	0.000641	0.014465
0.000000	0.000946	0.016388
0.000000	0.000946	0.020844
0.000000	0.000946	0.024017
0.000000	0.001282	0.021454
0.000000	0.000946	0.024323
0.000000	0.000946	0.020508
0.000000	0.001282	0.022095
0.000000	0.001282	0.018616
0.000000	0.000946	0.028168
0.000000	0.001282	0.019562
0.000000	0.000336	0.022095
0.000000	0.000946	0.022095
0.000000	0.000946	0.018280
0.000000	0.000641	0.022430
0.000000	0.000641	0.019226
0.000000	0.000641	0.019226
0.000000	0.000641	0.019226
0.000000	0.000641	0.022736
0.000000	0.001282	0.018921
0.000000	0.000946	0.018616
0.000000	0.000641	0.020203
0.000000	0.001282	0.018921
0.000000	0.000946	0.021454
0.000000	0.000946	0.019562
0.851318	0.000641	0.016998
0.849091	0.004120	0.020203
0.846832	0.024963	0.030396
0.844543	0.064453	0.052368
0.842285	0.122589	0.090576
0.839966	0.191467	0.135162
0.837677	0.259094	0.182922
0.835358	0.327026	0.234833
0.833008	0.393372	0.290894
0.830658	0.453400	0.338654
0.828308	0.506805	0.375916
0.825928	0.552612	0.411255
0.823517	0.594330	0.441833
0.821136	0.629395	0.469208
0.818726	0.660370	0.489594
0.816284	0.685333	0.503296
0.813843	0.706177	0.519226
0.811401	0.726410	0.539276
0.808929	0.741577	0.549469
0.806458	0.754211	0.550751
0.803955	0.763062	0.545013
0.801483	0.771271	0.545013
0.798950	0.778534	0.554871
0.796448	0.782959	0.541199
0.793884	0.786438	0.531952
0.791351	0.789612	0.537048
0.788788	0.791809	0.546295
0.786224	0.794983	0.558716
0.783630	0.794647	0.563477
0.781036	0.796234	0.568268
0.778442	0.796234	0.578766
0.775848	0.795593	0.577484
0.773193	0.793701	0.578766
0.770569	0.791168	0.571747
0.767914	0.788971	0.569214
0.765259	0.788971	0.575592
0.762604	0.786743	0.566040
0.759918	0.784851	0.561890
0.757233	0.783295	0.558075
0.754547	0.781708	0.554871
0.751831	0.778870	0.553925
0.749115	0.774750	0.537994
0.746399	0.772552	0.527802
0.743652	0.770325	0.525269
0.740906	0.768127	0.521454
0.738129	0.765259	0.527191
0.735382	0.763062	0.528442
0.732605	0.761810	0.537689
0.729828	0.760529	0.549469
0.727020	0.757385	0.544678
0.724213	0.752960	0.545319
0.721405	0.750732	0.541840
0.718597	0.747589	0.545319
0.715759	0.743774	0.542145
0.712921	0.740631	0.530029
0.710083	0.737793	0.528442
0.707214	0.736511	0.528137
0.704376	0.734314	0.521454
0.701508	0.731140	0.517609
0.698608	0.727356	0.513489
0.695740	0.725159	0.509033
0.692841	0.722626	0.506165
0.689941	0.719452	0.498505
0.687012	0.715027	0.493103
0.684113	0.713135	0.498199
0.681183	0.711884	0.499146
0.678253	0.709351	0.502960
0.675323	0.705872	0.511902
0.672363	0.703033	0.514130
0.669434	0.700500	0.516998
0.666473	0.697327	0.510925
0.663513	0.694489	0.511261
0.660522	0.690704	0.500427
0.657562	0.687531	0.490234
0.654572	0.685333	0.488312
0.651581	0.681549	0.484192
0.648590	0.678375	0.476532
0.645599	0.676483	0.474304
0.642578	0.673645	0.473663
0.639557	0.670807	0.479736
0.636566	0.667969	0.473663
0.633545	0.664490	0.465393
0.630493	0.661957	0.468262
0.627472	0.659424	0.467316
0.624420	0.655304	0.460297
0.621399	0.653107	0.469849
0.618347	0.650574	0.469543
0.615295	0.647430	0.469849
0.612244	0.644257	0.466034
0.609161	0.640472	0.465729
0.606110	0.637634	0.456482
0.603027	0.634766	0.454895
0.599976	0.631622	0.452972
0.596893	0.627502	0.441193
0.593811	0.624359	0.439270
0.590729	0.621826	0.438324
0.587616	0.620239	0.442780
0.584534	0.615814	0.441833
0.581451	0.613281	0.441498
0.578339	0.610779	0.437683
0.575226	0.607910	0.436096
0.572144	0.603821	0.428772
0.569031	0.600647	0.430695
0.565918	0.597809	0.427826
0.562805	0.594971	0.424957
0.559692	0.592438	0.426544
0.556580	0.588959	0.421143
0.553436	0.585480	0.424316
0.550323	0.582642	0.424011
0.547211	0.579498	0.422089
0.544067	0.576324	0.415405
0.540955	0.572845	0.404877
0.537811	0.569702	0.405518
0.534698	0.566833	0.395966
0.531555	0.562744	0.400757
0.528412	0.559906	0.387390
0.525299	0.557678	0.402649
0.522156	0.555145	0.403931
0.519012	0.552307	0.398834
0.515900	0.547882	0.398529
0.512756	0.544739	0.395325
0.509613	0.541870	0.396606
0.506470	0.537781	0.392151
0.503326	0.534302	0.379425
0.500183	0.532104	0.381653
0.497070	0.529236	0.382599
0.493927	0.526093	0.383545
0.490784	0.523254	0.379089
0.487640	0.519135	0.375580
0.484497	0.515961	0.374634
0.481354	0.513763	0.367310
0.478241	0.510590	0.360321
0.475098	0.505859	0.357117
0.471954	0.503326	0.355530
0.468842	0.500488	0.357117
0.465698	0.498291	0.355835
0.462555	0.495117	0.357117
0.459442	0.491974	0.356171
0.456299	0.489746	0.353302
0.453186	0.485657	0.361572
0.450073	0.482178	0.356171
0.446930	0.478699	0.356476
0.443817	0.475525	0.347565
0.440704	0.472382	0.342163
0.437592	0.469208	0.342468
0.434479	0.466370	0.339935
0.431366	0.462891	0.337067
0.428253	0.460999	0.327820
0.425171	0.457825	0.330688
0.422058	0.454041	0.325592
0.418976	0.451508	0.326874
0.415863	0.448669	0.321136
0.412781	0.445190	0.321777
0.409698	0.441406	0.315399
0.406616	0.438873	0.319550
0.403534	0.436340	0.317963
0.400452	0.433502	0.316986
0.397369	0.429718	0.321136
0.394318	0.426544	0.310638
0.391235	0.423706	0.313507
0.388184	0.419617	0.314758
0.385132	0.417084	0.306793
0.382080	0.413300	0.301392
0.379028	0.409821	0.296936
0.375977	0.407288	0.290253
0.372955	0.404449	0.289276
0.369904	0.401611	0.284515
0.366882	0.398437	0.290253
0.363861	0.396240	0.289612
0.360840	0.392120	0.289276
0.357849	0.389282	0.284210
0.354828	0.385162	0.279419
0.351837	0.383270	0.282928
0.348846	0.380096	0.283569
0.345856	0.376953	0.278778
0.342865	0.373779	0.279724
0.339905	0.370941	0.277191
0.336914	0.368103	0.278137
0.333954	0.365265	0.273041
0.331024	0.361481	0.271149
0.328064	0.358307	0.263184
0.325104	0.355774	0.259674
0.322174	0.352295	0.260620
0.319244	0.348816	0.261261
0.316345	0.346924	0.247253
0.313416	0.343445	0.247559
0.310516	0.341248	0.251404
0.307617	0.338409	0.246948
0.304718	0.335571	0.248535
0.301849	0.332703	0.244720
0.298950	0.329254	0.244080
0.296082	0.325439	0.248535
0.293243	0.322601	0.248199
0.290375	0.320068	0.242157
0.287537	0.317535	0.241516
0.284698	0.314697	0.243744
0.281891	0.311554	0.230682
0.279053	0.307770	0.236420
0.276245	0.305847	0.229431
0.273437	0.302704	0.227814
0.270660	0.300171	0.216034
0.267883	0.296692	0.216675
0.265106	0.294159	0.209686
0.262329	0.291962	0.217651
0.259583	0.288483	0.212555
0.256836	0.286255	0.215088
0.254089	0.283112	0.208405
0.251373	0.280884	0.209045
0.248657	0.278046	0.203613
0.245941	0.275208	0.203949
0.243256	0.271729	0.209991
0.240570	0.269531	0.207764
0.237885	0.266357	0.205536
0.235229	0.262878	0.200745
0.232574	0.260040	0.202026
0.229919	0.257202	0.200134
0.227295	0.254669	0.199493
0.224670	0.252136	0.192474
0.222046	0.249603	0.191193
