FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.016022	94.504547
0.000000	0.000000	94.440460
0.000000	-0.007629	94.345093
0.000000	0.000000	94.170380
0.000000	-0.007629	94.210052
0.000000	0.007629	94.185638
0.000000	0.000000	94.138336
0.000000	0.007629	94.170380
0.000000	-0.007629	94.106293
0.000000	-0.016022	93.978882
0.000000	-0.016022	94.002533
0.000000	-0.016022	93.978882
0.000000	0.007629	93.891144
0.000000	0.000000	94.113922
0.000000	0.007629	94.082642
0.000000	0.000000	94.098663
0.000000	-0.016022	93.859100
0.000000	-0.007629	93.787384
0.000000	-0.007629	93.668365
0.000000	0.000000	93.747711
0.000000	0.000000	93.907166
0.000000	0.000000	93.939209
0.000000	0.007629	93.955231
0.000000	0.007629	94.066620
0.000000	-0.007629	93.971252
0.000000	-0.007629	93.915558
0.000000	-0.007629	93.716431
0.000000	-0.007629	93.875122
0.000000	-0.007629	93.971252
0.000000	0.000000	94.161987
0.000000	0.023651	94.026947
0.000000	0.007629	93.971252
0.000000	-0.007629	93.843842
0.000000	-0.016022	93.827820
0.000000	-0.023651	94.042969
0.000000	0.007629	94.178009
0.000000	-0.016022	94.210052
0.000000	-0.016022	94.210052
0.000000	-0.016022	94.226074
0.000000	0.000000	94.393158
0.000000	-0.007629	94.233704
0.000000	-0.007629	94.138336
0.000000	-0.016022	94.170380
0.000000	0.000000	94.265747
0.000000	-0.007629	94.249725
0.000000	-0.016022	94.377136
0.000000	0.007629	94.257355
0.000000	0.007629	94.536591
0.000000	-0.007629	94.552612
0.000000	0.007629	94.886780
0.000000	0.000000	94.727325
0.000000	0.000000	94.448853
0.000000	-0.031281	94.249725
0.000000	-0.016022	94.098663
0.000000	0.000000	93.971252
0.000000	0.000000	93.986511
0.000000	-0.007629	94.066620
0.000000	0.000000	94.233704
0.000000	-0.016022	94.042969
0.000000	0.000000	93.843842
0.000000	-0.023651	93.652344
0.000000	-0.016022	93.835449
0.000000	0.007629	93.946838
0.000000	0.007629	94.233704
0.000000	-0.007629	94.337463
0.000000	-0.007629	94.249725
0.000000	0.000000	94.106293
0.000000	-0.016022	94.090271
0.000000	0.000000	93.859100
0.000000	-0.016022	93.700409
0.000000	-0.007629	93.612671
0.000000	0.016022	93.620300
0.000000	0.000000	93.397522
0.000000	-0.007629	93.246460
0.000000	-0.007629	93.286133
0.000000	-0.007629	93.158722
0.000000	0.000000	93.047333
0.000000	-0.016022	93.365479
0.000000	-0.007629	93.652344
0.000000	0.000000	93.915558
0.000000	0.016022	93.930817
0.000000	-0.007629	94.050598
0.000000	0.000000	94.113922
0.000000	-0.007629	93.939209
0.000000	0.016022	93.772125
0.000000	-0.007629	93.740082
0.000000	0.000000	93.843842
0.000000	-0.007629	94.018555
0.000000	-0.007629	94.233704
0.000000	-0.016022	94.194031
0.000000	0.007629	94.313049
0.000000	0.000000	94.226074
0.000000	-0.016022	94.042969
0.000000	-0.007629	94.074249
0.000000	0.000000	93.994904
0.000000	-0.023651	94.122314
0.000000	-0.007629	94.090271
0.000000	0.000000	94.058228
0.000000	-0.007629	94.122314
0.000000	0.000000	94.002533
0.000000	0.000000	94.082642
0.000000	-0.016022	93.994904
0.000000	-0.007629	93.971252
0.000000	-0.007629	94.002533
0.000000	-0.007629	94.034576
0.000000	0.000000	93.971252
0.000000	-0.007629	93.930817
0.000000	-0.007629	94.018555
0.000000	0.007629	94.113922
0.000000	-0.007629	94.026947
0.000000	-0.023651	94.002533
0.000000	-0.016022	93.971252
0.000000	-0.016022	94.090271
0.000000	-0.007629	94.122314
0.000000	0.007629	94.210052
0.000000	-0.007629	94.257355
0.000000	-0.007629	94.249725
0.000000	-0.016022	94.026947
0.000000	0.000000	93.851471
0.000000	-0.007629	93.795776
0.000000	0.000000	93.907166
0.000000	0.016022	94.122314
0.000000	0.016022	94.353485
0.000000	0.000000	94.345093
0.000000	0.000000	94.138336
0.000000	-0.007629	93.883514
0.000000	-0.016022	93.899536
0.000000	-0.016022	93.668365
0.000000	-0.016022	93.532562
0.000000	0.000000	93.421173
0.000000	0.007629	93.508911
0.000000	0.000000	93.517303
0.000000	0.023651	93.532562
0.000000	-0.007629	93.262482
0.000000	-0.016022	93.540955
0.000000	-0.016022	93.469238
0.000000	-0.007629	93.572998
0.000000	-0.007629	93.659973
0.000000	0.007629	93.572998
0.000000	0.000000	93.532562
0.000000	0.000000	93.819427
0.000000	0.007629	93.604279
0.000000	-0.007629	93.596649
0.000000	-0.023651	93.492889
0.000000	0.000000	93.485260
0.000000	-0.007629	93.476868
0.000000	0.000000	94.042969
0.000000	-0.007629	94.026947
0.000000	0.023651	94.042969
0.000000	-0.007629	93.923187
0.000000	-0.007629	93.803406
0.000000	-0.007629	93.835449
0.000000	0.000000	93.923187
0.000000	0.000000	93.930817
0.000000	-0.007629	93.962860
0.000000	0.007629	93.859100
0.000000	0.007629	93.923187
0.000000	0.000000	93.883514
0.000000	-0.007629	93.962860
0.000000	-0.016022	93.930817
