FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.016022	93.150330
0.000000	0.000000	93.174744
0.000000	-0.031281	93.206024
0.000000	0.000000	93.134308
0.000000	-0.007629	93.293762
0.000000	0.007629	93.405151
0.000000	-0.023651	93.286133
0.000000	-0.007629	93.389893
0.000000	-0.007629	93.286133
0.000000	-0.016022	93.254089
0.000000	0.007629	93.078613
0.000000	-0.007629	93.182373
0.000000	0.007629	93.246460
0.000000	0.007629	93.206024
0.000000	-0.007629	93.190765
0.000000	0.000000	93.166351
0.000000	-0.023651	93.373871
0.000000	-0.007629	93.501282
0.000000	-0.007629	93.421173
0.000000	0.000000	93.381500
0.000000	0.007629	93.349457
0.000000	0.007629	93.620300
0.000000	-0.016022	93.589020
0.000000	-0.007629	93.517303
0.000000	-0.016022	93.357849
0.000000	-0.016022	93.397522
0.000000	-0.016022	93.333435
0.000000	0.000000	93.405151
0.000000	-0.023651	93.445587
0.000000	0.000000	93.501282
0.000000	0.007629	93.659973
0.000000	-0.007629	93.589020
0.000000	-0.007629	93.644714
0.000000	-0.007629	93.628693
0.000000	-0.007629	93.612671
0.000000	-0.016022	93.659973
0.000000	-0.016022	93.405151
0.000000	0.007629	93.397522
0.000000	0.007629	93.437195
0.000000	-0.007629	93.357849
0.000000	-0.016022	93.038940
0.000000	0.000000	93.190765
0.000000	-0.016022	93.087006
0.000000	0.007629	93.214417
0.000000	-0.007629	93.158722
0.000000	0.000000	93.277740
0.000000	-0.007629	93.262482
0.000000	-0.007629	93.349457
0.000000	-0.007629	93.492889
0.000000	-0.007629	93.302155
0.000000	-0.007629	93.277740
0.000000	0.000000	93.262482
0.000000	0.000000	93.309784
0.000000	0.000000	93.293762
0.000000	0.000000	93.349457
0.000000	0.000000	93.373871
0.000000	-0.007629	93.349457
0.000000	-0.007629	93.445587
0.000000	-0.007629	93.508911
0.000000	-0.007629	93.405151
0.000000	0.000000	93.206024
0.000000	0.000000	93.318176
0.000000	0.000000	93.564606
0.000000	0.000000	93.772125
0.000000	-0.007629	93.971252
0.000000	-0.007629	93.659973
0.000000	0.000000	93.692017
0.000000	-0.007629	93.556976
0.000000	0.000000	93.532562
0.000000	0.000000	93.716431
0.000000	0.007629	93.731689
0.000000	0.000000	93.652344
0.000000	0.000000	93.532562
0.000000	-0.007629	93.659973
0.000000	0.000000	93.421173
0.000000	-0.007629	93.293762
0.000000	0.000000	93.262482
0.000000	-0.007629	93.277740
0.000000	-0.007629	93.349457
0.000000	0.007629	93.421173
0.000000	0.007629	93.437195
0.000000	0.000000	93.341827
0.000000	-0.016022	93.437195
0.000000	-0.007629	93.174744
0.000000	0.000000	93.119049
0.000000	0.000000	92.911530
0.000000	0.007629	93.110657
0.000000	0.000000	93.103027
0.000000	0.000000	93.198395
0.000000	0.000000	93.166351
0.000000	-0.023651	93.110657
0.000000	-0.016022	93.214417
0.000000	-0.016022	93.349457
0.000000	-0.023651	93.190765
0.000000	-0.016022	93.254089
0.000000	0.016022	93.166351
0.000000	-0.007629	93.103027
0.000000	-0.007629	93.150330
0.000000	-0.007629	93.501282
0.000000	-0.007629	93.309784
0.000000	-0.007629	93.230438
0.000000	-0.007629	92.839813
0.000000	0.000000	93.142700
0.000000	0.000000	93.174744
0.000000	0.007629	93.389893
0.000000	0.000000	93.190765
0.000000	-0.007629	93.309784
0.000000	-0.007629	93.214417
0.000000	-0.016022	93.246460
0.000000	0.000000	93.150330
0.000000	0.007629	93.150330
0.000000	-0.007629	93.078613
0.000000	-0.007629	93.222046
0.000000	0.000000	93.262482
0.000000	-0.007629	93.222046
0.000000	0.000000	93.134308
0.000000	-0.007629	93.270111
0.000000	-0.023651	93.254089
0.000000	0.000000	93.166351
0.000000	0.000000	93.182373
0.000000	-0.007629	93.293762
0.000000	0.000000	93.309784
0.000000	-0.023651	93.365479
0.000000	-0.023651	93.469238
0.000000	-0.007629	93.389893
0.000000	0.000000	93.309784
0.000000	-0.007629	93.373871
0.000000	0.007629	93.381500
0.000000	0.007629	93.532562
0.000000	-0.007629	93.373871
0.000000	0.007629	93.277740
0.000000	0.016022	93.174744
0.000000	-0.023651	93.341827
0.000000	-0.023651	93.532562
0.000000	-0.016022	93.445587
0.000000	-0.007629	93.476868
0.000000	-0.007629	93.397522
0.000000	0.000000	93.501282
0.000000	0.007629	93.724060
0.000000	0.007629	93.628693
0.000000	-0.016022	93.692017
0.000000	-0.016022	93.636322
0.000000	-0.016022	93.612671
0.000000	0.000000	93.589020
0.000000	-0.007629	93.421173
0.000000	0.000000	93.628693
0.000000	0.000000	93.939209
0.000000	-0.023651	93.899536
0.000000	-0.007629	93.867493
0.000000	-0.007629	93.692017
0.000000	-0.007629	93.437195
0.000000	-0.016022	93.612671
0.000000	0.000000	93.675995
0.000000	0.000000	93.891144
0.000000	-0.007629	93.795776
0.000000	0.016022	93.779755
0.000000	0.007629	93.731689
0.000000	-0.016022	93.779755
0.000000	-0.016022	93.628693
0.000000	0.000000	93.589020
0.000000	-0.007629	93.517303
0.000000	0.016022	93.540955
0.000000	0.007629	93.659973
0.000000	-0.007629	93.700409
0.000000	0.007629	93.907166
0.000000	0.000000	93.795776
0.000000	-0.007629	93.700409
0.000000	-0.016022	93.803406
0.000000	-0.016022	94.074249
0.000000	-0.007629	94.154358
0.000000	0.000000	94.082642
0.000000	0.000000	94.185638
0.000000	0.007629	94.074249
0.000000	0.007629	94.050598
0.000000	-0.007629	93.946838
0.000000	0.000000	93.835449
0.000000	-0.016022	93.899536
0.000000	-0.007629	94.138336
0.000000	0.007629	94.090271
0.000000	0.016022	94.337463
