FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/10/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000946	-0.659393
0.000000	0.000336	-0.659393
0.000000	0.001282	-0.653992
0.000000	0.000641	-0.657471
0.000000	0.001282	-0.656219
0.000000	0.001282	-0.661621
0.000000	0.000641	-0.662262
0.000000	0.000946	-0.652069
0.000000	0.001282	-0.657166
0.000000	0.000946	-0.658112
0.000000	0.000641	-0.659393
0.000000	0.001282	-0.666077
0.000000	0.000946	-0.660034
0.000000	0.000641	-0.661926
0.000000	0.000641	-0.662262
0.000000	0.001282	-0.657806
0.000000	0.001587	-0.663544
0.000000	0.000641	-0.658112
0.000000	0.000946	-0.662567
0.000000	0.000946	-0.663849
0.000000	0.000946	-0.657806
0.000000	0.001282	-0.654297
0.000000	0.001282	-0.661926
0.851318	0.000946	-0.663544
0.849091	0.036011	-0.660339
0.846832	0.136505	-0.627533
0.844543	0.289429	-0.573090
0.842285	0.450897	-0.530426
0.839966	0.584869	-0.490295
0.837677	0.673950	-0.467041
0.835358	0.740936	-0.453033
0.833008	0.795593	-0.408142
0.830658	0.829742	-0.403992
0.828308	0.842377	-0.414185
0.825928	0.850586	-0.430725
0.823517	0.855957	-0.426605
0.821136	0.863525	-0.416718
0.818726	0.863525	-0.432343
0.816284	0.859100	-0.438690
0.813843	0.856598	-0.437439
0.811401	0.861023	-0.428192
0.808929	0.857544	-0.438385
0.806458	0.846466	-0.472778
0.803955	0.838562	-0.490601
0.801483	0.837952	-0.486145
0.798950	0.836060	-0.495697
0.796448	0.830353	-0.498566
0.793884	0.824036	-0.503998
0.791351	0.824982	-0.485840
0.788788	0.828461	-0.463531
0.786224	0.825317	-0.459412
0.783630	0.815186	-0.468628
0.781036	0.811096	-0.462891
0.778442	0.810760	-0.450165
