FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 5/14/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 10000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	0.000305	-0.129028
0.000000	-0.000305	-0.084747
0.000000	0.000000	-0.101624
0.000000	-0.000305	-0.078674
0.000000	-0.000946	-0.088867
0.000000	0.000000	-0.097473
0.000000	0.000305	-0.090454
0.000000	-0.000305	-0.119446
0.000000	0.000000	-0.084106
0.000000	-0.000305	-0.067535
0.000000	0.000000	-0.145569
0.000000	0.000000	-0.133148
0.000000	0.000000	-0.075500
0.000000	0.000000	-0.124237
0.000000	-0.000641	-0.084747
0.000000	0.000000	-0.083771
0.000000	-0.000641	-0.106720
0.000000	0.000000	-0.080597
0.000000	-0.000305	-0.072937
0.000000	-0.000305	-0.101288
0.000000	-0.000305	-0.092682
0.000000	0.000305	-0.047150
0.000000	0.000305	-0.101288
0.000000	-0.000641	-0.073273
0.000000	0.000000	-0.093658
0.000000	-0.000305	-0.119446
0.000000	0.000000	-0.084747
0.000000	-0.000305	-0.128052
0.000000	-0.000305	-0.104797
0.000000	-0.000641	-0.093323
0.000000	-0.000305	-0.129028
0.166656	0.158478	-0.052887
0.333344	0.324829	-0.019104
0.500000	0.491852	-0.008606
0.666656	0.658508	0.060852
0.833344	0.824585	0.087921
1.000000	0.990936	0.082825
1.000000	0.997559	0.079010
1.000000	0.999786	0.094299
1.000000	0.998840	0.033447
1.000000	0.998840	0.058929
1.000000	0.999786	0.054474
1.000000	0.999481	0.054169
1.000000	0.999786	0.067871
1.000000	0.999481	0.055450
1.000000	0.999786	0.027405
1.000000	0.999146	0.074249
1.000000	0.999481	0.063416
1.000000	0.999146	0.111511
1.000000	0.999786	0.075195
1.000000	0.999481	0.065308
1.000000	0.999786	0.081573
1.000000	0.999481	0.078705
1.000000	0.999786	0.045258
1.000000	0.998199	0.077087
1.000000	0.999481	0.071991
1.000000	0.999786	0.087616
1.000000	0.999481	0.072968
1.000000	1.000092	0.069122
1.000000	0.999481	0.050964
1.000000	0.999786	0.069458
1.000000	0.999481	0.065643
1.000000	0.999146	0.066895
1.000000	0.999786	0.086029
1.000000	1.000092	0.090149
1.000000	0.999786	0.091125
1.000000	1.000427	0.093658
1.000000	0.999481	0.044617
1.000000	0.999146	0.079651
1.000000	0.999146	0.075500
1.000000	0.999146	0.057037
1.000000	0.999481	0.068176
1.000000	1.000092	0.063416
1.000000	0.999786	0.085388
1.000000	0.999481	0.063721
1.000000	0.999481	0.047150
1.000000	0.999146	0.086029
1.000000	0.999786	0.070404
1.000000	0.998840	0.055450
1.000000	0.999786	0.080597
1.000000	0.999786	0.082825
1.000000	0.999786	0.063416
1.000000	1.000092	0.077728
1.000000	0.999786	0.065002
1.000000	0.999481	0.047485
1.000000	0.999786	0.097504
1.000000	0.999786	0.038544
1.000000	0.999146	0.033783
1.000000	1.000427	0.053223
1.000000	0.999146	0.065948
1.000000	0.999481	0.063721
1.000000	0.999481	0.074249
1.000000	0.999146	0.070099
1.000000	0.999481	0.053833
1.000000	0.999786	0.069458
1.000000	1.000092	0.006683
1.000000	1.000092	0.067871
1.000000	0.999786	0.038239
1.000000	1.000092	0.075836
1.000000	0.999146	0.047791
1.000000	0.999786	0.068817
1.000000	0.999146	0.062439
1.000000	0.999481	0.097809
1.000000	0.999481	0.049713
1.000000	0.999481	0.119141
1.000000	0.999786	0.032196
1.000000	0.999786	0.030579
1.000000	1.000092	0.065002
1.000000	0.999786	0.071991
1.000000	0.998840	0.031860
