FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 5/14/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.000000	-0.000305	0.194641
0.000000	0.000000	0.189545
0.000000	0.000305	0.193695
0.000000	0.000000	0.184784
0.000000	0.000305	0.223328
0.000000	-0.000305	0.196259
0.000000	-0.000305	0.175537
0.000000	0.000000	0.180634
0.000000	-0.000305	0.204224
0.000000	-0.000641	0.200378
0.000000	0.000305	0.189240
0.000000	-0.000305	0.163422
0.000000	-0.000305	0.173004
0.000000	-0.000305	0.173309
0.000000	0.000000	0.181915
0.000000	0.000000	0.236389
0.000000	-0.000305	0.201355
0.000000	-0.000641	0.182556
0.000000	0.000305	0.160889
0.000000	-0.000305	0.182556
0.000000	-0.000305	0.174896
0.000000	0.000305	0.241486
0.000000	0.000000	0.223969
0.000000	-0.000305	0.214722
0.000000	0.000000	0.173950
0.000000	0.000305	0.181915
0.000000	0.000305	0.196899
0.000000	0.000305	0.205170
0.000000	0.000000	0.195618
0.000000	-0.000641	0.176178
0.000000	-0.000305	0.179047
0.000000	-0.000641	0.183197
0.000000	-0.000305	0.193054
0.000000	0.000000	0.217896
0.000000	0.000000	0.204529
0.000000	-0.000641	0.184784
0.000000	-0.000305	0.185730
0.000000	-0.000305	0.180634
0.000000	0.000000	0.180969
0.000000	0.000000	0.187958
0.000000	0.000305	0.204529
0.000000	0.000000	0.193390
0.000000	0.000000	0.174896
0.000000	0.000000	0.174591
0.000000	0.000000	0.174591
0.000000	-0.000305	0.205170
0.000000	-0.000641	0.203888
0.000000	0.000000	0.210907
0.000000	-0.000305	0.159302
0.000000	-0.000305	0.161194
0.000000	0.000000	0.187012
0.000000	0.000000	0.187958
0.000000	0.000641	0.169159
0.000000	-0.000305	0.178406
0.000000	0.000000	0.168213
0.000000	-0.000641	0.192413
0.000000	0.000000	0.189880
0.000000	-0.000305	0.169495
0.000000	-0.000305	0.205475
0.000000	-0.000305	0.197510
0.000000	0.000305	0.183502
0.000000	-0.000305	0.184784
0.000000	-0.000305	0.178101
0.000000	-0.000305	0.179352
0.000000	0.000305	0.187653
0.000000	-0.000305	0.185425
0.000000	-0.000641	0.188293
0.000000	0.000000	0.170135
0.000000	0.000305	0.203583
0.000000	0.000000	0.196259
0.000000	-0.000305	0.175232
0.000000	-0.000305	0.174255
0.000000	-0.000641	0.175232
0.000000	0.000000	0.134430
0.000000	-0.000305	0.180328
0.000000	-0.000305	0.207092
0.000000	-0.000305	0.220764
0.000000	-0.000641	0.171082
0.000000	-0.000305	0.177765
0.000000	-0.000305	0.208679
0.000000	0.000000	0.209320
0.000000	0.000000	0.164062
0.000000	-0.000305	0.215363
0.000000	-0.000305	0.202301
0.000000	-0.000305	0.181915
0.000000	0.000000	0.174591
0.000000	-0.000305	0.180328
0.000000	-0.000305	0.192108
0.000000	-0.000305	0.200714
0.000000	0.000000	0.195618
0.000000	0.000641	0.176819
0.000000	-0.000305	0.174896
0.000000	-0.000305	0.176178
0.000000	0.000305	0.178406
0.000000	0.000305	0.196899
0.000000	-0.000641	0.197510
0.000000	0.000305	0.160553
0.000000	-0.000305	0.173950
0.000000	-0.000305	0.172668
0.000000	0.000000	0.236389
0.000000	-0.000305	0.164398
0.000000	-0.000946	0.189240
0.000000	-0.000305	0.198486
0.000000	-0.000641	0.153229
0.000000	-0.000305	0.204834
0.000000	0.000000	0.181580
0.000000	0.000000	0.204529
0.000000	-0.000305	0.208038
0.000000	0.000305	0.189240
0.000000	-0.000305	0.178101
0.000000	-0.000305	0.175537
0.000000	-0.000305	0.180969
0.000000	0.000000	0.176178
0.000000	0.000000	0.189880
0.000000	0.000305	0.199738
0.000000	-0.000305	0.192108
0.000000	-0.000641	0.163422
0.000000	0.000000	0.174255
0.000000	-0.000305	0.185089
0.000000	-0.000641	0.244659
0.000000	-0.000305	0.234161
0.000000	0.000305	0.173615
0.000000	-0.000305	0.177124
0.000000	0.000000	0.168213
0.000000	0.000000	0.207397
